time,seconds_elapsed,z,y,x
2024-12-04 22:02:21.120294400,0.01429443359375,-0.1969441324472427,-1.0064213275909424,-0.0947751626372337
2024-12-04 22:02:21.130320400,0.0243203125,-0.1275139153003692,-0.952671229839325,-0.062583141028881
2024-12-04 22:02:21.140347100,0.03434716796875,-0.1541630327701568,-0.7211465239524841,0.0288972537964582
2024-12-04 22:02:21.150373000,0.044373046875,-0.2952762246131897,-0.4388602375984192,0.1501110345125198
2024-12-04 22:02:21.160399000,0.054399169921875,-0.4335388243198395,-0.2590857744216919,0.2262580394744873
2024-12-04 22:02:21.170426400,0.06442626953125,-0.6069742441177368,-0.0872460976243019,0.2842550277709961
2024-12-04 22:02:21.180452400,0.074452392578125,-0.7145305275917053,0.0925801172852516,0.3307951688766479
2024-12-04 22:02:21.190479400,0.084479248046875,-0.7318575978279114,0.2249314934015274,0.3319182097911834
2024-12-04 22:02:21.200505300,0.09450537109375,-0.7091689705848694,0.2613593935966491,0.2859018743038177
2024-12-04 22:02:21.210532000,0.104531982421875,-0.6653900742530823,0.1884228587150573,0.2019926011562347
2024-12-04 22:02:21.220558000,0.11455810546875,-0.6151071190834045,0.0358481556177139,0.115467868745327
2024-12-04 22:02:21.230585300,0.12458544921875,-0.5485997200012207,-0.1733934879302978,0.0411262661218643
2024-12-04 22:02:21.240611300,0.134611328125,-0.4945612847805023,-0.4200515151023865,-0.0458488389849662
2024-12-04 22:02:21.250637300,0.14463720703125,-0.4761428534984588,-0.6970556974411011,-0.1545953005552292
2024-12-04 22:02:21.260664300,0.154664306640625,-0.4303642213344574,-0.8374072313308716,-0.2434193342924118
2024-12-04 22:02:21.270690300,0.164690185546875,-0.2952223718166351,-0.6926149129867554,-0.261612981557846
2024-12-04 22:02:21.280717300,0.17471728515625,-0.0998202264308929,-0.3818681538105011,-0.2287105321884155
2024-12-04 22:02:21.290743300,0.184743408203125,0.0998255088925361,-0.0173266679048538,-0.1585175991058349
2024-12-04 22:02:21.300770300,0.194770263671875,0.2678868472576141,0.3030377924442291,-0.0732441917061805
2024-12-04 22:02:21.310796300,0.20479638671875,0.3663497567176819,0.5292909145355225,0.009804893285036
2024-12-04 22:02:21.320823300,0.2148232421875,0.4012512862682342,0.631618857383728,0.0830500796437263
2024-12-04 22:02:21.330849300,0.224849365234375,0.4005511403083801,0.5478294491767883,0.1436002403497696
2024-12-04 22:02:21.340875300,0.234875244140625,0.3765709698200226,0.3143855333328247,0.2006368935108184
2024-12-04 22:02:21.350902300,0.24490234375,0.3243612945079803,-0.002952222013846,0.2707355618476867
2024-12-04 22:02:21.360928300,0.25492822265625,0.2917850613594055,-0.3160510659217834,0.3602162003517151
2024-12-04 22:02:21.370955300,0.264955322265625,0.2935954928398132,-0.5670965909957886,0.4576351642608642
2024-12-04 22:02:21.380981200,0.274981201171875,0.3470121622085571,-0.6715686321258545,0.5685555934906006
2024-12-04 22:02:21.391008300,0.28500830078125,0.4402893781661987,-0.6379057168960571,0.6921443939208984
2024-12-04 22:02:21.401034200,0.2950341796875,0.5670658349990845,-0.4225714802742004,0.8469934463500977
2024-12-04 22:02:21.411060200,0.305060302734375,0.6900650262832642,-0.167813241481781,1.0168468952178955
2024-12-04 22:02:21.421087200,0.315087158203125,0.7607375979423523,0.0382075943052768,1.1682239770889282
2024-12-04 22:02:21.431113200,0.32511328125,0.7738912105560303,0.2308641225099563,1.2920101881027222
2024-12-04 22:02:21.441140200,0.33514013671875,0.7448847889900208,0.3549908995628357,1.358462691307068
2024-12-04 22:02:21.451166200,0.345166259765625,0.6939305067062378,0.3214425444602966,1.3573284149169922
2024-12-04 22:02:21.461193200,0.355193115234375,0.629426121711731,0.1756503880023956,1.3346701860427856
2024-12-04 22:02:21.471219200,0.36521923828125,0.5799869298934937,-0.0626474097371101,1.3004072904586792
2024-12-04 22:02:21.481246200,0.37524609375,0.5463082194328308,-0.4778262674808502,1.273731708526611
2024-12-04 22:02:21.491272200,0.385272216796875,0.5393635034561157,-1.0387394428253174,1.300977349281311
2024-12-04 22:02:21.501298200,0.395298095703125,0.5860334038734436,-1.7369405031204224,1.4154661893844604
2024-12-04 22:02:21.511325400,0.405325439453125,0.6174935698509216,-2.490565299987793,1.640400528907776
2024-12-04 22:02:21.521351400,0.415351318359375,0.6254770159721375,-3.2403392791748047,1.984609603881836
2024-12-04 22:02:21.531378200,0.425378173828125,0.6021197438240051,-4.051612854003906,2.385604858398437
2024-12-04 22:02:21.541404200,0.435404052734375,0.6365253329277039,-4.882381916046143,2.7908902168273926
2024-12-04 22:02:21.551431200,0.44543115234375,0.9479671120643616,-5.318347454071045,2.9558653831481934
2024-12-04 22:02:21.561457200,0.45545703125,1.3035492897033691,-5.627269744873047,2.9283552169799805
2024-12-04 22:02:21.571484400,0.465484375,1.5171470642089844,-6.074922561645508,2.86264705657959
2024-12-04 22:02:21.581510400,0.475510498046875,1.7109094858169556,-6.454867839813232,2.737287759780884
2024-12-04 22:02:21.591536400,0.485536376953125,1.9234853982925413,-6.561343193054199,2.5639894008636475
2024-12-04 22:02:21.601563100,0.495563232421875,2.1643996238708496,-6.377003192901611,2.402207374572754
2024-12-04 22:02:21.611589000,0.505589111328125,2.4120635986328125,-5.887970447540283,2.221911668777466
2024-12-04 22:02:21.621616400,0.515616455078125,2.745337724685669,-4.792359352111816,1.919059038162232
2024-12-04 22:02:21.631642000,0.52564208984375,3.0821962356567383,-3.642874002456665,1.4860917329788208
2024-12-04 22:02:21.641669400,0.53566943359375,3.0756330490112305,-2.378664970397949,0.7681588530540466
