time,seconds_elapsed,z,y,x
2024-12-04 22:06:59.285675300,0.01467529296875,-0.0588782168924808,-0.0626017749309539,0.5953519940376282
2024-12-04 22:06:59.295701200,0.024701171875,-0.0483151413500309,-0.0261349081993103,0.5925494432449341
2024-12-04 22:06:59.305727200,0.034727294921875,-0.0031093135476112,0.0297531243413686,0.5626499056816101
2024-12-04 22:06:59.315754500,0.04475439453125,0.0552062876522541,0.0127900568768382,0.5126938819885254
2024-12-04 22:06:59.325780500,0.054780517578125,0.0819574669003486,-0.1192681118845939,0.4438391923904419
2024-12-04 22:06:59.335807200,0.06480712890625,0.0783136039972305,-0.157106876373291,0.3898598849773407
2024-12-04 22:06:59.345833200,0.074833251953125,0.0785666033625602,-0.0751512795686721,0.3691396713256836
2024-12-04 22:06:59.355859200,0.084859130859375,0.089277371764183,-0.0024229015689343,0.369524210691452
2024-12-04 22:06:59.365886200,0.09488623046875,0.1253200620412826,0.059808250516653,0.3908377587795257
2024-12-04 22:06:59.375912400,0.104912353515625,0.1751121580600738,0.1692966222763061,0.4219287633895874
2024-12-04 22:06:59.385938400,0.1149384765625,0.2100120782852172,0.2565654814243316,0.4496932923793793
2024-12-04 22:06:59.395965400,0.12496533203125,0.2188004106283188,0.3279069662094116,0.4860135614871979
2024-12-04 22:06:59.405991400,0.134991455078125,0.209348052740097,0.3797280788421631,0.5332857370376587
2024-12-04 22:06:59.416018200,0.14501806640625,0.2014370560646057,0.4731362164020538,0.605459988117218
2024-12-04 22:06:59.426044200,0.155044189453125,0.2189729064702987,0.6281896829605103,0.6934694647789001
2024-12-04 22:06:59.436070100,0.165070068359375,0.2324944138526916,0.7421183586120605,0.751844048500061
2024-12-04 22:06:59.446097400,0.175097412109375,0.2217182070016861,0.8399556875228882,0.7452087998390198
2024-12-04 22:06:59.456123400,0.185123291015625,0.2216756939888,0.8812064528465271,0.6741513013839722
2024-12-04 22:06:59.466150400,0.195150390625,0.1990207284688949,0.8264742493629456,0.583241879940033
2024-12-04 22:06:59.476176400,0.20517626953125,0.1409390568733215,0.4233647584915161,0.5181252956390381
2024-12-04 22:06:59.486202000,0.2152021484375,0.0316948592662811,-0.1496383100748062,0.4403796195983886
2024-12-04 22:06:59.496229400,0.2252294921875,-0.1067659184336662,-0.6240115165710449,0.3546980917453766
2024-12-04 22:06:59.506255400,0.23525537109375,-0.2210789024829864,-0.8122115135192871,0.3070938289165497
2024-12-04 22:06:59.516282400,0.245282470703125,-0.2680245637893677,-0.8279100060462952,0.3087027072906494
2024-12-04 22:06:59.526308400,0.255308349609375,-0.2833710312843323,-0.9251042008399964,0.357711523771286
2024-12-04 22:06:59.536334300,0.265334228515625,-0.3254782557487488,-1.1994898319244385,0.4492582678794861
2024-12-04 22:06:59.546361000,0.275361083984375,-0.3767747581005096,-1.5388848781585691,0.5279474854469299
2024-12-04 22:06:59.556387300,0.28538720703125,-0.4041830897331238,-1.7765874862670898,0.561141312122345
2024-12-04 22:06:59.566413300,0.295413330078125,-0.4112295508384704,-1.8032329082489007,0.5310806035995483
2024-12-04 22:06:59.576440300,0.3054404296875,-0.438205361366272,-1.5630757808685305,0.4137430787086487
2024-12-04 22:06:59.586466300,0.31546630859375,-0.4773775339126587,-1.5679408311843872,0.2680604457855224
2024-12-04 22:06:59.596493300,0.325493408203125,-0.4717917442321777,-1.883694767951965,0.110762134194374
2024-12-04 22:06:59.606519300,0.335519287109375,-0.4659653007984161,-2.2365517616271973,-0.0306714233011007
2024-12-04 22:06:59.616545300,0.345545166015625,-0.4716525971889496,-2.283499240875244,-0.1518814712762832
2024-12-04 22:06:59.626572300,0.355572265625,-0.5024845600128174,-1.8828917741775515,-0.2768263518810272
2024-12-04 22:06:59.636598300,0.365598388671875,-0.5874279141426086,-1.2592946290969849,-0.4434611797332763
2024-12-04 22:06:59.646625300,0.375625244140625,-0.7053556442260742,-0.9495897889137268,-0.5996867418289185
2024-12-04 22:06:59.656651300,0.3856513671875,-0.8378140926361084,-1.2510135173797607,-0.6976624131202698
2024-12-04 22:06:59.666677200,0.39567724609375,-1.0261688232421875,-1.5797077417373655,-0.7176076173782349
2024-12-04 22:06:59.676704500,0.40570458984375,-1.2453486919403076,-1.895866870880127,-0.6252294182777405
2024-12-04 22:06:59.686730500,0.41573046875,-1.3310213088989258,-2.589923143386841,-0.4853303432464599
2024-12-04 22:06:59.696756500,0.425756591796875,-1.2745453119277954,-2.635854721069336,-0.3991622030735016
2024-12-04 22:06:59.706783200,0.435783203125,-1.1313878297805786,-1.8743165731430047,-0.3681195974349975
2024-12-04 22:06:59.716809200,0.445809326171875,-0.8696582913398743,-1.1764041185379028,-0.344583123922348
2024-12-04 22:06:59.726836200,0.455836181640625,-0.5736088156700134,-0.8753259778022766,-0.2122772932052612
2024-12-04 22:06:59.736862500,0.465862548828125,-0.3494434058666229,-0.7714858651161194,-0.0133387232199311
2024-12-04 22:06:59.746888400,0.475888427734375,-0.2074210047721862,-0.5126689672470093,0.1383831650018692
2024-12-04 22:06:59.756915500,0.48591552734375,-0.1159022822976112,0.0614114999771118,0.1230281293392181
2024-12-04 22:06:59.766941200,0.495941162109375,-0.108507215976715,1.160280466079712,-0.1607806831598281
2024-12-04 22:06:59.776968200,0.50596826171875,-0.248716190457344,1.3080816268920898,-0.7082819938659668
2024-12-04 22:06:59.786994200,0.515994140625,-0.628121018409729,0.9287388920783995,-1.3686004877090454
2024-12-04 22:06:59.797020400,0.5260205078125,-1.0109206438064575,0.6006886959075928,-1.802895188331604
